# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
	.11406	uc021zhj.1		0	0	0	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2
	.11413	uc021zho.1		0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
	.11415	uc031sqs.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.11437	uc021zib.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.11454	uc021zil.1		0	0	0	9	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	4
	.11455	uc021zin.1		0	0	0	7	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0
	.1155	uc001hwo.3		0	0	0	19	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0
	.1155	uc001hwp.3		0	1	0	39	0	0	0	0	0	0	0	0	31	0	6	0	0	0	1	0	0	0	0	3
	.1155	uc021pkt.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.1156	uc001hwu.1	protein_coding	1	1	1	54	1	0	6	0	0	0	5	0	42	1	0	0	0	0	0	0	1	0	1	0
	.1181	uc021plr.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.12003	uc010kun.2		0	0	0	12	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	8
	.12024	uc003syw.4		0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
	.12024	uc022aar.1		0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
	.12025	uc003syy.3		0	1	0	12	0	0	0	0	0	0	0	0	5	0	7	0	0	0	1	0	0	0	0	1
	.12026	uc003syz.1		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
	.12225	uc010lai.4		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
	.12282	uc003ugj.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
	.12282	uc003ugk.4		0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
	.12284	uc010ldz.3		0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6
	.12285	uc031syc.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.12286	uc031syd.1		0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
	.12287	uc010lea.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
	.12287	uc022agq.1		0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
	.12287	uc022agr.1		0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
	.12287	uc022ags.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
	.12297	uc003uja.2		0	0	0	25	0	0	0	0	0	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0
	.12297	uc010lei.2		0	0	0	25	0	0	0	0	0	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0
	.12328	uc022ahx.1		0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2
	.12329	uc003ups.3		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
	.12392	uc003vcp.1		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
	.12392	uc003vcq.1		0	0	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5
	.12392	uc003vcr.1		0	0	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5
	.12392	uc010lje.1		0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
	.12392	uc010ljf.1		0	0	0	15	0	0	0	0	0	0	5	0	8	0	2	0	0	0	0	0	0	0	0	0
	.12392	uc010ljg.3	protein_coding	1	2	6	6	0	0	0	0	0	0	5	0	1	6	0	0	0	0	0	0	1	0	2	0
	.12392	uc010ljh.1	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
	.12393	uc003vcs.1		0	0	0	24	0	0	0	0	0	0	10	0	11	0	3	0	0	0	0	0	0	0	0	0
	.1241	uc001ijx.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.1241	uc001ijy.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.1241	uc010qbe.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.1241	uc010qbf.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.1241	uc010qbg.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.12443	uc003vlk.3		0	1	0	47	0	0	0	0	0	0	1	0	44	0	3	0	0	0	1	0	0	0	0	0
	.12443	uc003vll.3		0	1	0	47	0	0	0	0	0	0	1	0	44	0	3	0	0	0	1	0	0	0	0	0
	.12443	uc003vln.3		0	1	0	47	0	0	0	0	0	0	1	0	44	0	3	0	0	0	1	0	0	0	0	0
	.12443	uc003vlp.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.12443	uc003vlq.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.12443	uc010lkx.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.12443	uc011koe.2		0	1	0	47	0	0	0	0	0	0	1	0	44	0	3	0	0	0	1	0	0	0	0	0
	.12459	uc010llq.2	protein_coding	3	0	6	38	0	0	8	0	0	0	0	1	30	6	0	0	1	0	0	0	1	0	0	1
	.12463	uc003vos.3	protein_coding	0	3	2	35	3	0	0	0	0	0	1	0	16	2	0	0	0	0	0	0	0	0	3	15
	.12502	uc022amo.1		0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
	.12513	uc003vwb.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
	.12571	uc011kuj.2		0	2	0	22	0	0	0	0	0	0	10	0	11	0	3	0	0	0	2	0	0	0	0	0
	.1270	uc001iot.1		0	0	0	15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11
	.12744	uc003xdv.2		1	0	0	7	0	0	0	0	0	0	0	0	5	0	3	0	1	0	0	0	0	0	0	0
	.1276	uc001iqb.3		0	0	0	30	0	0	0	0	0	0	2	0	27	0	1	0	0	0	0	0	0	0	0	0
	.1276	uc010qcl.2		0	1	0	102	0	0	0	0	0	0	0	0	97	0	6	0	0	0	1	0	0	0	0	0
	.12779	uc011lbd.1	protein_coding	0	0	1	7	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	4
	.12779	uc011lbe.1	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	4
	.12794	uc003xlh.3	protein_coding	1	2	1	9	0	1	1	0	0	0	0	0	7	1	0	0	0	0	1	0	1	0	1	1
	.12795	uc010lwf.3		0	2	0	31	0	0	0	0	0	0	0	0	13	0	12	0	0	0	2	0	0	0	0	8
	.12796	uc003xlw.1		0	2	0	33	0	0	0	0	0	0	9	0	21	0	3	0	0	0	2	0	0	0	0	2
	.12796	uc011lbr.2		0	1	0	34	0	0	0	0	0	0	12	0	12	0	1	0	0	0	1	0	0	0	0	10
	.12806	uc010lxi.2		0	1	0	64	0	0	0	0	0	0	0	0	49	0	16	0	0	0	1	0	0	0	0	0
	.12806	uc011lco.2		0	1	0	59	0	0	0	0	0	0	10	0	37	0	13	0	0	0	1	0	0	0	0	0
	.12806	uc011lcp.2		0	1	0	64	0	0	0	0	0	0	0	0	49	0	16	0	0	0	1	0	0	0	0	0
	.12806	uc022auk.1		0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8
	.12808	uc022aum.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.12874	uc003xxp.1	protein_coding	0	0	1	23	5	0	2	0	0	0	7	0	4	1	0	0	0	0	0	0	0	0	0	5
	.1288	uc001iqv.3		0	1	0	83	0	0	0	0	0	0	0	0	72	0	12	0	0	0	1	0	0	0	0	0
	.1288	uc001iqx.1		0	1	0	22	0	0	0	0	0	0	2	0	15	0	1	0	0	0	1	0	0	0	0	5
	.1288	uc001irb.3		0	0	0	35	0	0	0	0	0	0	0	0	24	0	8	0	0	0	0	0	0	0	0	3
	.1288	uc009xke.1		0	0	0	23	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	5
	.1288	uc009xkf.1		0	1	0	22	0	0	0	0	0	0	2	0	15	0	1	0	0	0	1	0	0	0	0	5
	.12890	uc003xzl.3	protein_coding	0	1	1	21	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	1	0
	.12940	uc010maz.2		0	1	0	42	0	0	0	0	0	0	0	0	25	0	8	0	0	0	1	0	0	0	0	10
	.12945	uc022ayl.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022aym.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayn.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayp.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayq.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayr.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ays.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayt.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayu.1		0	0	0	9	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	2
	.12945	uc022ayv.1		0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
	.12967	uc003ykp.1		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
	.13032	uc003ysg.4		0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
	.13033	uc031tch.1		0	0	0	26	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	9
	.13043	uc022bbn.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	.13051	uc003yue.2	protein_coding	0	2	5	23	2	0	1	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	2	14
	.13051	uc003yui.1		0	0	0	20	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	7
	.13128	uc010mhn.4		0	0	0	17	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0
	.13149	uc003zlu.3		0	0	0	11	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0
	.13163	uc022bdy.1		0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
	.13164	uc022bdz.1		0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
	.13165	uc022bea.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	.13198	uc003zqy.4		2	1	0	66	0	0	0	0	0	0	1	0	55	0	13	0	2	0	1	0	0	0	0	0
	.13198	uc003zqz.1	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
	.13199	uc010mjj.3		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	.13372	uc004akv.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
	.13475	uc004avj.3	protein_coding	0	1	0	12	2	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	2
	.13476	uc010mrm.1		0	0	0	36	0	0	0	0	0	0	2	0	31	0	2	0	0	0	0	0	0	0	0	1
	.13476	uc011lul.1		0	0	0	36	0	0	0	0	0	0	2	0	32	0	2	0	0	0	0	0	0	0	0	0
	.13497	uc004axs.4		0	0	0	12	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0
	.13497	uc004axt.1		0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
	.13629	uc004bvk.3		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
	.13630	uc010mye.1	protein_coding	0	1	3	25	1	0	0	0	0	0	14	0	3	3	0	0	0	0	2	0	0	0	0	8
	.13630	uc010myf.1	protein_coding	0	1	1	34	0	0	0	0	0	0	21	0	6	1	0	0	0	0	1	0	0	0	0	8
	.13631	uc004bvo.4	protein_coding	0	4	4	26	0	1	4	0	0	0	1	0	9	4	0	0	0	0	0	0	0	0	3	12
	.13649	uc004byv.1		0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4
	.13688	uc004cff.3		0	0	0	84	0	0	0	0	0	0	22	0	61	0	1	0	0	0	0	0	0	0	0	0
	.1415	uc021prj.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	.1418	uc001jmk.3		0	0	0	10	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	3
	.1418	uc001jmo.3	protein_coding	0	1	0	26	2	0	1	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0	1	7
	.1418	uc001jmp.1	protein_coding	0	0	8	30	0	0	2	0	0	0	6	0	22	8	0	0	0	0	0	0	0	0	0	0
	.1418	uc009xpj.2		0	0	0	77	0	0	0	0	0	0	0	0	53	0	24	0	0	0	0	0	0	0	0	0
	.1419	uc021prk.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	.1429	uc001jol.1		0	0	0	43	0	0	0	0	0	0	3	0	35	0	4	0	0	0	0	0	0	0	0	1
	.1429	uc001jop.1		0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
	.1429	uc010qjb.2		0	0	0	51	0	0	0	0	0	0	2	0	44	0	4	0	0	0	0	0	0	0	0	1
	.1463	uc001jtt.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
	.1463	uc001jtu.1		0	0	0	7	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0
	.1463	uc001jtv.4	protein_coding	0	1	1	23	2	0	0	0	0	0	0	0	19	1	0	0	0	0	1	0	0	0	0	3
	.1463	uc001jtw.4	protein_coding	0	1	1	23	2	0	0	0	0	0	0	0	19	1	0	0	0	0	1	0	0	0	0	3
	.1463	uc010qkh.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
	.1463	uc021ptm.1		0	0	0	18	0	0	0	0	0	0	3	0	11	0	4	0	0	0	0	0	0	0	0	0
	.1464	uc009xrd.1	protein_coding	0	2	2	28	3	1	1	0	0	0	4	0	21	2	0	0	0	0	2	0	0	0	0	0
	.1578	uc001kfc.1		0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
	.1578	uc021pvw.1		1	0	0	37	0	0	0	0	0	0	0	0	28	0	8	0	1	0	0	0	0	0	0	2
	.1599	uc009xua.1		0	0	0	37	0	0	0	0	0	0	9	0	25	0	3	0	0	0	0	0	0	0	0	0
	.165	uc001bhf.1		0	0	0	18	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	5
	.166	uc001bhi.3		0	1	0	35	0	0	0	0	0	0	0	0	29	0	7	0	0	0	1	0	0	0	0	0
	.166	uc001bhj.3		0	0	0	26	0	0	0	0	0	0	0	0	17	0	8	0	0	0	0	0	0	0	0	1
	.1696	uc001kzx.3		0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
	.1697	uc021pyf.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
	.1733	uc001lfk.1		0	0	0	26	0	0	0	0	0	0	5	0	5	0	1	0	0	0	0	0	0	0	0	15
	.1864	uc009yfo.2		0	0	0	36	0	0	0	0	0	0	0	0	21	0	14	0	0	0	0	0	0	0	0	1
	.1907	uc001mlu.2		0	0	0	9	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0
	.1953	uc009yjs.2		0	0	0	36	0	0	0	0	0	0	0	0	23	0	13	0	0	0	0	0	0	0	0	0
	.1954	uc010rec.2		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
	.1954	uc010red.2		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
	.1954	uc021qfr.1		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
	.1973	uc021qgj.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
	.2122	uc001ncg.3	protein_coding	1	1	4	24	3	0	0	0	0	0	0	1	8	4	0	0	0	0	2	0	0	0	0	14
	.2208	uc001nyr.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
	.2220	uc009ypz.3		0	1	0	22	0	0	0	0	0	0	2	0	10	0	5	0	0	0	1	0	0	0	0	6
	.2220	uc010rnw.2	protein_coding	0	16	2	38	1	8	12	0	0	0	0	0	29	2	0	0	0	0	5	0	0	0	3	0
	.2235	uc021qlp.1		0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
	.2236	uc009yqs.1		0	1	0	22	0	0	0	0	0	0	9	0	4	0	0	0	0	0	1	0	0	0	0	10
	.2279	uc010rqh.1		0	0	0	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0
	.2282	uc001opp.3		0	2	0	80	0	0	0	0	0	0	0	0	68	0	14	0	0	0	2	0	0	0	0	0
	.2282	uc001opq.1		0	1	0	39	0	0	0	0	0	0	4	0	26	0	6	0	0	0	1	0	0	0	0	4
	.2282	uc001opt.1		0	0	0	29	0	0	0	0	0	0	3	0	17	0	7	0	0	0	0	0	0	0	0	2
	.2282	uc021qmq.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
	.2344	uc001pbk.3		0	0	0	26	0	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	0	0	4
	.2399	uc009yxs.1		0	0	0	14	0	0	0	0	0	0	3	0	7	0	1	0	0	0	0	0	0	0	0	3
	.2400	uc009yxt.1	protein_coding	0	0	1	21	0	0	0	0	0	0	10	0	7	1	0	0	0	0	0	0	0	0	0	4
	.2401	uc009yxu.2		0	0	0	34	0	0	0	0	0	0	12	0	21	0	1	0	0	0	0	0	0	0	0	0
	.2414	uc001pmy.3		0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5
	.242	uc001byp.3		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.242	uc001byq.3		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.2431	uc001pqf.3		0	0	0	24	0	0	0	0	0	0	4	0	18	0	2	0	0	0	0	0	0	0	0	0
	.2431	uc009yzm.3		0	0	0	24	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0
	.2431	uc009yzn.3		0	0	0	24	0	0	0	0	0	0	0	0	22	0	2	0	0	0	0	0	0	0	0	0
	.2532	uc001qjy.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	.2533	uc009zdx.1		0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
	.2534	uc031qfm.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	.2535	uc031qfn.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	.2536	uc021qta.1		0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
	.2537	uc001qkx.2		0	0	0	53	0	0	0	0	0	0	6	0	38	0	8	0	0	0	0	0	0	0	0	1
	.2571	uc009zeg.3		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
	.2581	uc009zeu.3		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.2581	uc009zev.3		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	.2595	uc021qui.1		0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
	.265	uc001cdk.3		0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
	.2651	uc001rcb.3	protein_coding	0	1	1	13	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7
	.266	uc001cdo.1		0	0	0	21	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	9
	.2698	uc001rlt.3	protein_coding	1	2	3	13	1	0	1	0	0	0	0	0	7	3	0	0	0	0	0	0	1	0	2	4
